"","X","Height","Tree","Shrub","WoodyLiana","ParasiticEpiphyte","DwarfShrub","MonocarpPerennialHerb","PolycarpNonClonalHerb","ClonalHerb","AnnualHerb","ChamPh","GeoPh","HemiPh","HydroPh","MphanPh","NphanPh","TherPh","LfArVertic","LfArAltern","LfArRosette","LfArOppos","LfTSimple","LfTReduced","LfTComp","LfGrSpring","LfGrSummer","LfGrWinter","LfGrPersist","LfScler","LfSuccul","LA","SLA","LDMC","FloweringLength","Dioecy","OutCross","AutoGam","ZooGam","AnemoGam","HydroGam","FleshyFr","VegetRepr","MyrmChor","SeedMass","Sh_polycyclic_Woody_incl","BdBank_size","BdBank_depth","Parasit","MHtroph","Cvory","Nfix","Gnm_size","Gnm_GC","Clon_persist","Clon_multip","LateralSpr","ClonInd","ClonDispOrg","DiasporeVeg","DiasporeGen","DispAllium","DispBidens","DispCornus","DispEpilobium","DispalLycopodium","DispPhragmites","DispSparganium","DispWolffia","DispZea"
"33","Agrimonia_eupatoria",-0.185125484126689,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.75,0,9.0432226489245,18.45,339.5,3,0,0.6,1,1,0,0,0,0,0,2.65253749117195,0,20,4,0,0,0,0,7.83974217896262,40.65,4,1,0.03,3,0,0,1,0,1,0,0,0,0,0,0,0
"34","Agrimonia_procera",0.223943231484774,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.75,0,9.42674607488555,19.52,313.44,3,0,0.6,1,1,0,0,0,0.5,0,2.98921105656373,0,20,4,0,0,0,0,8.5308791105208,40.95,4,1,0.13,4,0,0,1,0,1,0,0,0,0,0,0,0
"35","Agropyron_pectinatum",-0.796287939479459,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,0,6.04737217904628,21.45,NA,3,NA,0.75,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0
"36","Agrostis_alpina",-1.60445037092306,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.75,0,NA,NA,NA,2,0,NA,0,0,1,1,0,0.5,0,NA,1,16.67,3.8,0,0,0,0,7.87708238519692,47.64,4,6,0.04,4,0,0,1,1,0,0,0,0,0,0,0,0
"37","Agrostis_canina",-0.913793851675568,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.63,0,4.20469261939097,27.29,281.99,3,0,0.88,0,0,1,1,0,0.5,0,-2.65926003693278,1,NA,NA,0,0,0,0,8.02624535552049,47.63,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,0,0
"38","Agrostis_capillaris",-0.796287939479459,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.75,0,5.81612853448774,34.43,259.67,3,0,0.88,0,0,1,1,0,0.5,0,-2.65926003693278,0,18.89,3.71,0,0,0,0,8.65935746327712,47.18,3.65,2.74,0.08,4,0,0,1,1,0,0,0,0,0,0,0,0
"39","Agrostis_gigantea",-0.221894331913778,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.5,0,5.71867108714995,22.78,241.17,3,0,0.75,0,0,1,1,0,0.5,0,-2.40794560865187,1,20,4,0,0,0,0,9.00612161179231,46.4,4,4.75,0.09,5,0,0,1,1,0,0,0,0,0,0,0,0
"40","Agrostis_rupestris",-2.03255795578099,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.88,0,NA,15.5,NA,2,0,NA,0,0,1,1,0,0,0,-2.04022082852655,1,15,3.67,0,0,0,0,8.53311378355105,46.09,4,6,0.01,4,0,0,1,1,0,0,0,0,0,0,0,0
"41","Agrostis_scabra",-0.355247391947547,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"42","Agrostis_stolonifera",-0.429245636773568,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.5,0,5.90173128733585,31.33,273.31,3,0,0.88,0,0,1,1,0,0.5,0,-2.81341071676004,1,6.25,1.8,0,0,0,0,NA,NA,1.75,5,0.13,5,0,1,1,1,0,0,0,0,0,0,0,0
"43","Agrostis_vinealis",-1.20064501423326,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,5.92393489031438,19.95,333.66,2,0,NA,0,0,1,1,0,0.5,0,-2.65926003693278,1,20,4,0,0,0,0,8.8698199525084,47.01,4,3.5,0.09,5,0,0,1,1,0,0,0,0,0,0,0,0
"44","Ailanthus_altissima",3.11355975266719,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0.75,0,NA,17.78,NA,1,0,0.9,0,1,0,0,0,0.5,0,3.5142284036242,NA,30,10,0,0,0,0,7.58139848764394,36.3,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0
"45","Aira_caryophyllea",-1.60445037092306,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0.75,0,2.65324196460721,21.08,279.67,3,0,0.43,1,0,0,0,0,0,0,-2.12026353620009,0,5,1,0,0,0,0,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"46","Aira_praecox",-2.1982250776698,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,2.25758772706331,21.43,270.29,2,0,0.43,0,0,1,1,0,0,0,-1.77195684193188,0,12.5,3.4,0,0,0,0,8.69771145659009,46.58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"47","Ajuga_chamaepitys",-2.03255795578099,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0.75,0,4.25561270981822,22.48,157.93,6,0,NA,1,1,0,0,0,0,1,0.207014169384326,1,5,1,0,0,0,0,7.49635272622252,38.64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"48","Ajuga_genevensis",-1.60445037092306,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0.75,0,5.90944071162939,25.78,145.56,4,0,0.75,1,1,0,0,0,0.25,1,0.56531380905006,1,39.74,8.27,0,0,0,0,7.70922308973479,39.96,2.67,4,0.1,5,0,0,1,1,0,0,0,0,0,0,0,0
"49","Ajuga_pyramidalis",-2.03255795578099,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0.75,0,6.62406522779989,17.32,199.55,4,0.5,0.5,1,1,0,0,0,0.25,1,0.438254930931155,1,41,8.17,0,0,0,0,7.52738508218369,38.97,2.8,2,0.06,3,0,0,1,1,0,0,0,0,0,0,0,0
"50","Ajuga_reptans",-1.76609172247948,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0.63,0,6.32076829425058,34.7,153,4,0,0.5,1,1,0,0,0,0.5,1,0.392042087776024,1,35.62,8.33,0,0,0,0,7.68663051342476,38.83,2.43,3.79,0.19,5,0,0,1,1,0,0,0,0,0,0,0,0
"51","Alcea_biennis",0.0962188577405429,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0
"52","Alcea_rosea",0.742413421862863,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,NA,NA,NA,NA,0.88,0,9.01784725986073,13.66,202.64,3,0,0.5,1,1,0,0,0,0,0,2.19165353228676,1,10,3,0,0,0,0,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
