	Height	Tree	Shrub	WoodyLiana	ParasiticEpiphyte	DwarfShrub	MonocarpPerennialHerb	PolycarpNonClonalHerb	ClonalHerb	AnnualHerb	ChamPh	GeoPh	HemiPh	HydroPh	MphanPh	NphanPh	TherPh	LfArVertic	LfArAltern	LfArRosette	LfArOppos	LfTSimple	LfTReduced	LfTComp	LfGrSpring	LfGrSummer	LfGrWinter	LfGrPersist	LfScler	LfSuccul	LA	SLA	LDMC	FloweringLength	Dioecy	OutCross	AutoGam	ZooGam	AnemoGam	HydroGam	FleshyFr	VegetRepr	MyrmChor	SeedMass	SeedNo	Sh_polycyclic_Woody_incl	BdBank_size	BdBank_depth	Parasit	MHtroph	Cvory	Nfix	Gnm_size	Gnm_GC	Clon_persist	Clon_multip	LateralSpr	ClonInd	ClonDispOrg	DiasporeVeg	DiasporeGen	DispAllium	DispBidens	DispCornus	DispEpilobium	DispalLycopodium	DispPhragmites	DispSparganium	DispWolffia	DispZea
Linnaea_borealis	0.15	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0.88	0	76.61	29.16	252.42	3	0	0.88	1	1	0	0	0	0.75	0	0.87	44.25	0	17.5	1.57	0	0	0	0	1581.85	40.77	4	3.42	0.22	5	0	0	1	1	0	0	0	0	0	0	0	0
Linum_austriacum	0.4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.88	0	29	17.39	195.1	5	0	0.9	0	1	0	0	0	0	0	1.35	967	0	39.17	8.32	0	0	0	0	1476.2	42.9	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Linum_catharticum	0.18	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0.88	0	26.62	30.16	210	3	0	0.5	1	1	0	0	0	0	0	0.15	277.58	0	5	2	0	0	0	0	1179.99	42.91	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Linum_flavum	0.35	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.75	0	NA	NA	NA	2	0	0.9	0	1	0	0	0	0	0	1.05	NA	0	32.5	9	0	0	0	0	3295.35	43.77	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Linum_hirsutum	0.43	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	2	NA	0.9	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Linum_perenne	0.4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.75	0	26.5	25.88	200.98	2	0	0.9	0	1	0	0	0	0.5	0	2.2	10	0	35.83	8.63	0	0	0	0	NA	NA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Linum_tenuifolium	0.28	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0.88	0	NA	NA	NA	3	0	0.9	0	1	0	0	0	0	0	1.29	NA	0	33.93	8.83	0	0	0	0	NA	NA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Liparis_loeselii	0.13	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0.75	0	904.75	38.05	72.28	2	0	0.25	1	0	0	0	0	0.5	0	0	NA	0	12.5	3.4	0	0.5	0	0	12186.2	41.77	3.5	1.83	0.07	4	1	1	1	0	0	0	0	0	0	1	0	0
Listera_cordata	0.1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0.5	0	196.28	36.65	133.6	4	0	0.6	1	1	0	0	0	0.5	0	NA	NA	0	35.67	8.64	0	0.5	0	0	24693.2	45.14	3.2	2.88	0.08	3	0	0	1	0	0	0	0	1	0	0	0	0
Listera_ovata	0.4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0.63	0	3720.67	28.03	116.94	3	0	0.6	1	1	0	0	0	0.5	0	NA	337000	0	36.43	7.88	0	0.5	0	0	34357.53	46.08	4	2.25	0.1	3	0	0	1	0	0	0	0	1	0	0	0	0
