Species_list
Microthlaspi perfoliatum
Muscari sp.
Potentilla incana
Salvia pratensis
Thymus pannonicus agg.
Seseli pallasii
Allium flavum
Veronica spicata
Festuca valesiaca
Thymus pannonicus agg.
Arenaria serpyllifolia
Cytisus procumbens
Dictamnus albus
Elymus hispidus
Eryngium campestre
Galatella linosyris
Muscari sp.
Teucrium chamaedrys
Veronica spicata
Allium sp.
Carex humilis
Galium glaucum
Microthlaspi perfoliatum
Stipa pulcherrima
Festuca rupicola
Chamaecytisus austriacus
Fragaria viridis
Salvia pratensis
Fumana procumbens
Jovibarba glob. ssp. hirta
Sedum album
Stipa capillata
Acinos arvensis
Arenaria serpyllifolia
Cerastium pumilum
Holosteum umbellatum
Euphorbia cyparissias
trava
Salvia pratensis
Sedum album
Fumana procumbens
Melica ciliata
Stachys recta
Stipa capillata
Arabis auriculata
Arenaria serpyllifolia
Holosteum umbellatum
Tragopogon dubius
Cerastium pumilum
Hypericum perforatum
Stipa capillata
Dorycnium germanicum
Sedum album
Arenaria serpyllifolia
Carex humilis
Cerastium pumilum
Fumana procumbens
Holosteum umbellatum
Hypericum perforatum
Seseli osseum
"Galatella linosyris, pravý dolní roh"
Alyssum montanum
Stipa capillata
Carex humilis
Cerastium pumilum
Sedum album
Acinos arvensis
Arenaria serpyllifolia
Centaurea stoebe
Holosteum umbellatum
Sanguisorba minor
Hypericum perforatum
Minuartia rubra
Carex humilis
Fumana procumbens
Sanguisorba minor
Stipa capillata
Acinos arvensis
Alyssum montanum
Arenaria serpyllifolia
Cerastium sp.
Holosteum umbellatum
Hypericum perforatum
Lappula squarrosa
Teucrium montanum
Sedum album
Thymus praecox
Alyssum montanum
Sanguisorba minor
Sedum album
Seseli osseum
Stipa capillata
Acinos arvensis
Allium flavum
Arenaria serpyllifolia
Holosteum umbellatum
Jovibarba glob. ssp. hirta
Melica ciliata
Sesleria caerulea
Dorycnium germanicum
Inula ensifolia
Aster amellus
Viola rupestris
Alyssum montanum
Festuca csikhegyensis
Pimpinella saxifraga
Potentilla incana
Seseli osseum
Thymus praecox
Galium glaucum
Asperula cynanchica
Achillea sp.
Sanguisorba minor
Campanula persicifolia
cf. Arrhenatherum elatius
Poa angustifolia
Sesleria caerulea
Centaurea triumfetti
Inula ensifolia
Dorycnium germanicum
Achillea pannonica
Avenula pubescens
Dianthus lumnitzeri
Galium glaucum
Galium verum
semenacek
Vincetoxicum hirundinar.
Sangisorba minor
Centaurea stoebe
Poa angustifolia
Thymus praecox
Sesleria caerulea
Festuca csikhegyensis
Sedum album
Alyssum montanum
semenacek
cf. Cirsium
Veronica prostrata
Potentilla incana
Dorycnium germanicum
Potentilla incana
Centaurea triumfetti
Sesleria caerulea
Thymus praecox
Festuca csikhegyensis
Sedum album
Allium flavum
Dorycnium germanicum
Inula ensifolia
semenacek
Seseli osseum
Alyssum montanum
Saxifraga tridactylites
Jovibarba glob.ssp. hirta
Centaurea triumfetti
Anthyllis vulneraria
Galium glaucum
Inula ensifolia
Pimpinella saxifraga
Plantago media
Arabis sagittata
Arrhenatherum elatius
Aster amellus
Dorycnium germanicum
Euphorbia cyparissias
Festuca csikhegyensis
Lotus borbasii
semenacek
Seseli osseum
Thymus praecox
Viola rupestris
Vincetoxicum hirundinar.
Asperula cynanchica
Sesleria caerulea!
Sanguisorba minor
Scabiosa ochroleuca
Galium album
Sesleria caerulea
Dorycnium germanicum
Bupleurum falcatum
Hypericum perforatum
Sanguisorba minor
semenacek
Asperula cynanchica
Festuca csikhegyensis
Thymus sp.
Galium sp.
Thymus pannonicus agg.
Senecio jacobaea
Elymus hispidus
Eryngium campestre
Falcaria vulgaris
Festuca valesiaca
Galatella linosyris
Inula hirta
Securigera varia
Stipa pulcherrima
Arabis auriculata
Arenaria serpyllifolia
Camelina microcarpa
Galium glaucum
Orobanche alba ssp. alba
Veronica praecox
Iris pumila
Stipa capillata
Stipa pulcherrima
Thymus pannonicus agg.
Eryngium campestre
Festuca valesiaca
Galium glaucum
Salvia nemorosa
Arenaria serpyllifolia
Elymus hispidus
Falcaria vulgaris
Inula hirta
Peucedanum cervaria
Securigera varia
Galium verum
Crambe tataria
Thymus pannonicus agg.
Veronica spicata
Festuca valesiaca
Galium glaucum
Peucedanum cervaria
Arabis auriculata
Arenaria serpyllifolia
Bromus japonicus
Rapistrum perenne
Stipa pulcherrima
Inula hirta
Stipa capillata
Securigera varia
Centaurea stoebe
Galatella linosyris
Elymus hispidus
Thymus pannonicus agg.
Festuca valesiaca
Stipa capillata
Arenaria serpyllifolia
Elymus hispidus
Eryngium campestre
Falcaria vulgaris
Galium glaucum
Rapistrum perenne
Veronica spicata
Achillea pannonica
Alyssum alyssoides
Carex humilis
Lamium amplexicaule
Galatella linosyris 
Thymus pannonicus agg.
Asparagus officinalis
Inula hirta
Veronica spicata
Elymus hispidus
Festuca valesiaca
Securigera varia
Stipa capillata
Arabis auriculata
Arenaria serpyllifolia
Bromus tectorum
Falcaria vulgaris
Galium glaucum
Iris pumila
Veronica arvensis
Veronica praecox
Galatella linosyris
Carex supina
Thymus pannonicus agg.
Centaurea stoebe
Galium glaucum
Arenaria serpyllifolia
Falcaria vulgaris
Securigera varia
Adonis vernalis
Bromus japonicus
Carex humilis
Festuca valesiaca
Iris pumila
Microthlaspi perfoliatum
Stipa capillata
Veronica praecox
Reseda lutea
Nigella arvensis
Salvia nemorosa
Eryngium campestre
